CAP,1 CODE,1 NAME,1 CORR,2 CODE,2 NAME,2 CORR,3 CODE,3 NAME,3 CORR,4 CODE,4 NAME,4 CORR,5 CODE,5 NAME,5 CORR
100,404,Economic Planning,0.9340956365388483,109,Internationalism: Negative,1.1196014184964376,414,Economic Orthodoxy,1.1524819473358618,305,Political Authority,1.1568499367402783,203,Constitutionalism: Positive,1.1591044082234863
101,706,Non-economic Demographic Groups,1.2120049656485021,403,Market Regulation,1.2135083011396175,409,Keynesian Demand Management,1.2172346524329236,401,Free Market Economy,1.2286925912428968,414,Economic Orthodoxy,1.229708390658838
103,412,Controlled Economy,1.19459345095228,404,Economic Planning,1.19519387773463,414,Economic Orthodoxy,1.2219339628810217,701,Labour Groups: Positive,1.2276519195703595,416,Anti-Growth Economy: Positive,1.229024092399664
104,404,Economic Planning,0.9058754499457441,414,Economic Orthodoxy,1.136579959504835,109,Internationalism: Negative,1.1483641662737933,203,Constitutionalism: Positive,1.1537779140078668,301,Federalism,1.1890103124390383
105,110,European Community/Union: Negative,1.1072026442882568,602,National Way of Life: Negative,1.112229387747535,606,Civic Mindedness: Positive,1.1141831194506076,409,Keynesian Demand Management,1.1345293127533065,411,Technology and Infrastructure,1.1409337615339514
107,605,Law and Order: Positive,1.0173602940743567,402,Incentives,1.074507417783823,404,Economic Planning,1.0783656243243813,608,Multiculturalism: Negative,1.152142052802319,203,Constitutionalism: Positive,1.1577607746388439
108,404,Economic Planning,0.9138073279835272,416,Anti-Growth Economy: Positive,1.0360368266286595,410,Economic Growth: Positive,1.0455696211859737,414,Economic Orthodoxy,1.1590004989347034,203,Constitutionalism: Positive,1.1621281154375158
110,412,Controlled Economy,0.9132531834327552,402,Incentives,1.1644184872395746,401,Free Market Economy,1.1964678260342436,403,Market Regulation,1.2052399977034096,701,Labour Groups: Positive,1.2350354999326287
199,404,Economic Planning,1.2239363334104885,408,Economic Goals,1.2375240809437582,703,Agriculture and Farmers: Positive,1.2440387373494093,302,Centralisation,1.2677847867642251,301,Federalism,1.2798976048975441
200,201,Freedom and Human Rights,1.159894775565626,705,Underprivileged Minority Groups,1.1752844117748495,303,Governmental and Administrative Efficiency,1.1871141072745492,606,Civic Mindedness: Positive,1.2410252544764517,503,Equality: Positive,1.250081556080745
201,503,Equality: Positive,1.0964517393641384,705,Underprivileged Minority Groups,1.1479628738786047,608,Multiculturalism: Negative,1.2052584500658428,607,Multiculturalism: Positive,1.210295805197171,603,Traditional Morality: Positive,1.2350432600010524
