"text","cmp_code","eu_code"
"O Brasil mudou.",NA,NA
"E vai continuar mudando.",NA,NA
"Há quase oito anos, o Governo Lula deu início a profundas transformações econômicas, sociais e políticas em nosso país.","416.2",NA
"Este processo não foi um movimento solitário de uma minoria, mas da imensa maioria da sociedade brasileira.","606.2",NA
"Teve o apoio de ampla coligação de partidos que -no Congresso Nacional e no Executivo – contribuiu para o êxito do mais vasto programa de reformas que o País já conheceu.","606.1",NA
"Teve também a participação ativa dos trabalhadores e seus sindicatos,","701",NA
"do empresariado e suas entidades","704",NA
"e das mais abrangentes parcelas da sociedade civil.","606.1",NA
"Refletiu a força da democracia brasileira.","202.1",NA
"De uma democracia com participação popular,","202.1",NA
"que soube combinar a expansão das liberdades públicas","201.1",NA
"e o fortalecimento das instituições","305.3",NA
"com melhorias substanciais nas condições de vida de homens e mulheres.","416.2",NA
"O governo do Presidente Lula conseguiu, pela primeira vez em nossa história, articular crescimento da economia com forte distribuição de renda, inclusão e ascensão social.","416.2",NA
"Cerca de 14,7 milhões de empregos formais foram criados.","416.2",NA
"O desemprego, que alcançava quase 12% da população economicamente ativa em 2002, foi reduzido para cerca de 6%.","416.2",NA
"Pela primeira vez, o número de trabalhadores formais supera o de informais.","701",NA
"Mais de 36 milhões de homens e mulheres ascenderam à classe média e 28 milhões saíram da pobreza.","503",NA
"Esse processo ocorreu sem abalos macroeconômicos.","414",NA
"A inflação foi mantida sob controle: os índices gerais de preços, que superavam 25% em 2002, hoje estão em torno de 5%.","414",NA
"As taxas reais de juros recuaram de aproximadamente 20%, no governo FHC-Serra, para cerca de 6% no Governo Lula-Dilma.","414",NA
"Em relação ao Produto Interno Bruto, a dívida líquida pública diminuiu de 61% para 41% entre 2002 e 2010.","414",NA
"Superamos nossa vulnerabilidade externa.","103.2",NA
"Rompemos com décadas de dependência do FMI (Fundo Monetário Internacional).","103.2",NA
"O Brasil passou da condição de devedor à de credor internacional, acumulando reservas que ultrapassam 282 bilhões de dólares.","103.2",NA
"Nos mais variados domínios da economia, retomou-se o planejamento,","404",NA
"especialmente em energia, infraestrutura, transporte e logística,","411",NA
"habitação e saneamento.","504",NA
"Isso só foi possível porque se redefiniu o papel do Estado na economia e na sociedade brasileira, como demonstram o Programa de Aceleração do Crescimento e o Programa Minha Casa, Minha Vida.","404",NA
"O fortalecimento das empresas estatais – como a Petrobrás, a Eletrobrás e os bancos públicos – permitiu uma articulação entre um Estado indutor do desenvolvimento e uma iniciativa privada pujante e revigorada.","413",NA
"As descobertas do PRÉ-SAL, além de apontarem para a transformação do Brasil em grande potência petrolífera, tem e terão impacto direto na industrialização do País, especialmente nos setores naval, de máquinas e equipamentos e petroquímico,","410",NA
"além de contribuir para a formação de um Fundo de Longo Prazo que ampliará o financiamento das políticas sociais, educacionais, de saúde, científico-tecnológicas e culturais para a atual e às futuras gerações.","404",NA
"O crescimento econômico vem sendo combinado com a preservação ambiental.","416.2",NA
"O êxito do combate ao desmatamento, sobretudo, na Amazônia, associado ao zoneamento agrícola","501",NA
"e ao fortalecimento de uma matriz energética renovável são elementos fundamentais dessa política.","501",NA
"Por isso, o Brasil pôde apresentar ousada proposta para enfrentar os problemas relacionados à mudança do clima na Conferência de Copenhague.","501",NA
"Políticas sociais, como o Bolsa Família e o Luz Para Todos,","504",NA
"junto com a forte expansão do crédito (de 24% para 46,2% do PIB),","402",NA
"a ampliação do apoio à agricultura familiar,","703.1",NA
"o crescimento do emprego","701",NA
"e a valorização do salário mínimo, que permitiu aos trabalhadores aumentos superiores à inflação,","412",NA
"assim como o fortalecimento da Previdência,","504",NA
"contribuíram para a democratização de oportunidades para milhões de brasileiros e brasileiras.","503",NA
"Tudo isso provocou a criação de um gigantesco mercado de bens de consumo e a formação do círculo virtuoso que garantiu a expansão sustentada de nossa economia.","416.2",NA
"Assim, o Brasil pôde suportar a grave crise mundial iniciada em 2008 e, mais do que isso, estar entre os primeiros países a saírem dela.","305.1",NA
"Quanta diferença em relação ao ocorrido no passado!","305.1",NA
"Durante o governo FHC-Serra, nas crises do México, Sudeste Asiático e Rússia, o Brasil afundou, cobrando da sociedade novos esforços e imensos sacrifícios.","305.1",NA
"As políticas sociais do governo Lula não foram complemento compensatório de orientações econômicas conservadoras, menos ainda um mecanismo de “cooptação” de setores da sociedade, como pretendem nossos adversários; elas são, pois, o elemento estruturante de uma nova política econômica que elegeu a ascensão social e a geração de empregos como suas prioridades.","416.2",NA
"No Brasil de Lula e Dilma, todos cresceram.",NA,NA
"A inclusão social teve, nas políticas educacionais, outro elemento importante.","506",NA
"O investimento na educação duplicou em termos reais no governo Lula-Dilma em relação ao período FHC-Serra.","506",NA
"O Fundeb, a criação do piso salarial nacional e os programas de qualificação de docentes foram fundamentais para iniciar mudanças na educação dos Estados e dos municípios.","506",NA
"O governo criou 14 novas universidades, 124 extensões universitárias e dobrou a número de vagas nas instituições federais.","506",NA
"O PROUNI – apesar da tentativa judicial de destruí-lo, feita por nossos adversários - beneficiou até agora 704 mil estudantes pobres.","506",NA
"A construção de 214 novas escolas profissionais representa grande passo na qualificação da força de trabalho para o período de expansão que o País vive e continuará vivendo.","506",NA
"Forte apoio foi dado aos esportes e às políticas culturais.","502",NA
"Mais de 40 bilhões de reais dedicados à pesquisa elevaram a posição do Brasil na comunidade científica mundial.","411",NA
"Criaram os alicerces para o desenvolvimento da inovação tecnológica, indispensável em uma sociedade do conhecimento.","411",NA
"Apesar do boicote de nossos adversários, que apoiaram ativamente a extinção da principal fonte de financiamento da saúde, houve substancial elevação dos recursos orçamentários anuais para o setor: de 29 bilhões de reais em 2002, no governo FHC-Serra, para 63 bilhões de reais, em 2010, no Governo Lula-Dilma.","504",NA
"Esses recursos permitiram desenvolver novos programas, como Samu, Brasil Sorridente, Unidades de Pronto Atendimento, e viabilizaram a ampliação das equipes do Saúde da Família, o acesso a medicamentos e a Farmácias Populares.","504",NA
"Diferentemente de outros períodos de nossa história, a expansão econômica que estamos vivendo coincidiu com o aprofundamento da democracia.","202.1",NA
"As liberdades públicas, especialmente, as de opinião, de imprensa e religiosa, tem sido respeitadas e ampliadas.","201.2",NA
"Importantes iniciativas garantiram a preservação e expansão dos Direitos Humanos,","201.2",NA
"esforço que continuará a ser aprofundado porque a liberdade é valor fundamental da democracia que estamos construindo.","201.1",NA
