"content","cmp_code","eu_code"
"INTRODUÇÃO","H",NA
"Estas são as diretrizes fundamentais do programa de governo de José Serra.","000",NA
"Elas refletem o entendimento do candidato e seus apoiadores sobre os problemas do Brasil e propõem, em termos claros e diretos, o que o futuro Presidente da República pode fazer para enfrentá-los, com a autoridade e os recursos de chefe do governo e o apoio da nação.","305.2",NA
"O Brasil tem problemas graves: desemprego,","701",NA
"falta de segurança,","605.1",NA
"pobreza, desigualdade,","503",NA
"desajustes na economia que travam o crescimento do país e o deixam vulnerável às crises que vêm de fora.","410",NA
"Quem pensa que pode governar o Brasil minimizando esses problemas estará enganando o país ou a si mesmo.","305.2",NA
"Mas quem quiser governar o Brasil olhando só os problemas vai acabar se limitando a repetir o que todos sabem: que os problemas são muitos e graves, sem oferecer soluções viáveis para qualquer um deles.","305.2",NA
"Este é um país diferente: imenso, diversificado, contraditório e cheio de vitalidade.","601.1",NA
"Um país jovem, em formação, que apenas começa a descobrir sua importância no mundo.","601.1",NA
"O Brasil é importante, não só porque é grande.","601.1",NA
"Contamos com empresários competentes e com trabalhadores dedicados, cujo empenho e facilidade de aprendizado são mundialmente reconhecidos.","601.1",NA
"Temos um parque industrial que já demonstrou sua capacidade de competir e exportar, desde máquinas agrícolas e aços nobres até aviões.","601.1",NA
"Nossa agropecuária é competitiva e ainda dispõe, para expandir-se, de milhões de hectares de terras férteis sem aproveitamento.","703.1",NA
"Nosso patrimônio histórico, a beleza de nossas praias e reservas naturais","501",NA
"e a hospitalidade de nosso povo representam um potencial de turismo ainda longe de estar bem aproveitado.","601.1",NA
"Temos uma massa crítica de cientistas e pesquisadores com uma produção intelectual que já nos permite caminhar com nossas próprias pernas na era da informação e do conhecimento.","411",NA
"No século 20, fomos um dos países que mais cresceram no mundo.","410",NA
"Temos todas as condições para ocupar novamente nosso lugar nesse pódio no século 21.","410",NA
"Tudo isso nos permite projetar um Brasil desenvolvido e atuante no cenário internacional.","601.1",NA
"Acima de tudo, somos um país que quer e sente que pode oferecer um futuro de paz, justiça e prosperidade a todos os seus filhos.","601.1",NA
"José Serra conhece como poucos, tanto os problemas como as potencialidades do Brasil.","305.2",NA
"Não só conhece: tem uma vida inteira dedicada a mudar o país para melhor.","305.2",NA
"Como líder estudantil, professor e pesquisador, secretário, deputado, senador, ministro duas vezes, ele esteve sempre do mesmo lado:","305.2",NA
"no combate ao autoritarismo,","202.1",NA
"ao atraso e às injustiças sociais;","503",NA
"na linha de frente dos esforços para fazer o Brasil avançar no rumo da democracia,","202.1",NA
"da justiça social","503",NA
"e do desenvolvimento.","410",NA
"Graças à luta de homens como José Serra,","305.2",NA
"o Brasil avançou muito nos últimos vinte anos.","601.1",NA
