Text,Code
DЕМОСRАCIА,999
Еѕtаdо Роdеr Јudiсiáriо Соrruрçãо Соmuniçãcо ѕосiаl Роlítiса ехtеrnа Рarticipação рорulаr,999
DEMOCRATIZAR O BRASIL,999
"Na luta contra as injustiças e a miséria,",503
aprendi que sem democracia não chegaremos a uma sociedade nova e solidária,202
"Despertei para a vida política nos anos 70, quando a ditadura impunha ao país, pela força",202
", um modelo econômico que excluía a classe trabalhadora do acesso à riqueza criada com nosso suor",701
A luta sindical estava proibida pela repressão e por uma legislação que atrelava nossas entidades ao governo.,201
"Não havia direito de greve, nem liberdade de manifestação.",201
Começamos a dizer não ao arrocho salarial,701
e à política econômica do governo.,701
"Fomos assegurando na prática os nossos direitos, principalmente o direito de greve, de reunião e de manifestação.",201
"Os senhores da classe dominante brasileira, associados à ditadura militar, pretendiam que os trabalhadores lutassem tão-somente por melhores salários",201
Mas nossa experiência sindical já havia mostrado que a ditadura militar e a inexistência de democracia representavam fortes barreiras contra a mudança daquele modelo econômico.,201
"Passamos, então, a concretizar o sonho de construir um Partido dos Trabalhadores para intervir nas decisões políticas e realizar transformações econômicas e sociais em nosso país.",305
Fomos aprendendo que não haverá mudanças reais nem democracia no Brasil sem participação do povo,202
e luta social.,606
"Eleito para o Congresso Constituinte, em 1986, enfrentei com a bancada do PT e os partidos de esquerda as dificuldades que todos acompanharam daquela luta para garantir ao Brasil uma Constituição democrática e popular.",203
"Conquistamos eleições diretas, mas a tutela militar permanece.",202
"Avançamos no campo dos direitos sociais,",504
mas ficaram intocados o latifúndio e a concentração de riquezas.,503
"Garantimos a liberdade de imprensa, mas ficou o monopólio dos meios de comunicação.",201
"Consolidamos liberdades políticas,",201
mas a ditadura do poder econômico continua.,503
As atividades na direção do PT e a atuação no parlamento fizeram ampliar meus horizontes,305
"Sem deixar de ser um operário metalúrgico, passei a visualizar melhor o amplo leque de interesses setoriais em choque na sociedade brasileira, tal qual ela está edificada hoje.",701
Mas as nossas idéias fundamentais foram confirmadas nesse aprendizado novo.,305
"Desde aqueles tempos de dirigente metalúrgico, até hoje, como candidato a presidente da República, todas as nossas experiências de luta só fizeram reafirmar a importância vital de introduzirmos neste país algumas mudanças básicas.",305
No primeiro fascículo desta série expusemos algumas delas:,408
"a necessidade de um choque de salários,",701
um choque de distribuição de renda,503
e um choque de dignidade no tratamento da questão da dívida externa,103
"No seguinte, mostramos argumentos irrefutáveis a favor da democratização da propriedade da terra neste país e da necessidade de um novo modelo agrícola, que garanta uma produção abundante de alimentos,",703
sem agredir o meio ambiente.,416
"Neste, estamos apresentando um diagnóstico sobre as moléstias do organismo político brasileiro",305
"e as diretrizes de um programa para combater o autoritarismo, garantir a soberania do poder civil",202
", extirpar a corrupção,",304
"recuperar o judiciário,",303
desmontar o monopólio no campo das comunicações de massa,403
e redefinir nossa política externa.,103
Todas as nossas propostas podem ser resumidas numa só palavra: democracia.,202
"Democracia sem adjetivos, sem condicionantes, sem segundas intenções.",202
"Democracia, baseada na mais ampla participação da sociedade e no mais rigoroso controle das bases populares sobre o aparelho de Estado.",202
"Para os privilegiados, para a minoria dominante em nosso país, a democracia não interessa.",202
