"content","cmp_code","eu_code"
"Esse não é o nosso Programa de Governo,","202.1",NA
"São as diretrizes que vamos discutir com a sociedade,","202.1",NA
"Elas serão discutidas e aperfeiçoadas com a participação de toda a sociedade brasileira e suas muitas instituições representativas ao longo da campanha eleitoral.","202.1",NA
"O que alinhavamos a seguir, com o objetivo de iniciarmos o debate, são diretrizes gerais, ideias e passos que consideramos fundamentais para fazer do nosso Brasil um país verdadeiramente justo, solidário, unido, forte e soberano.","606.1",NA
"Portanto, certamente haverá, num país de tantas complexidades, omissões, incompletudes","202.1",NA
"e até ideias que deverão ser substituídas pelo aperfeiçoamento que alcançaremos durante essa campanha.","305.1",NA
"No mês de junho de 2018, o Brasil tinha 13 milhões de desempregados, segundo o IBGE; este, por si só, já é um número desolador, mas se computarmos também aqueles que gostariam de trabalhar mais horas ou não procuraram emprego porque desistiram de fazê-lo, chegamos a um em cada quatro brasileiras e brasileiros, dos que compõem a força de trabalho, no primeiro trimestre de 2018.","701",NA
"É um número que impressiona.","701",NA
"Aqueles que obtiveram alguma forma de ocupação, conseguiram de forma mais precária, isso é, sem carteira ou por conta-própria, e em atividades nas quais a renumeração é menor.","701",NA
"Mas tão ruim quanto isso é saber que 28% das pessoas entre 18 e 24 anos não estudavam nem trabalhavam em 2017; na faixa entre 25 e 29 anos, esse percentual era de 25%.","701",NA
"É uma parcela significativa de uma geração fora do sistema educacional","506",NA
"e do mercado de trabalho.","701",NA
"Consumidores e empresas também estão com elevado nível de endividamento; 63 milhões de consumidores estavam inadimplentes no primeiro semestre de 2018, segundo o Serviço de Proteção ao Crédito, e 5,5 milhões de micro e pequenas empresas estavam na mesma situação em fevereiro de 2018, segundo a Serasa, o que representava 22% das empresas desse porte.","409",NA
"As margens de lucro das empresas caíram com a crise nos últimos anos, e a disposição para o setor privado investir","402",NA
"e gerar mais empregos segue muito baixa,","701",NA
"Não há como ficar feliz nessa situação; não é à toa que a população está desgostosa com os governantes.","409",NA
"Mas há meios, sim, para mudar essa situação para melhor; entretanto, é preciso coragem, determinação e crença na dedicação e capacidade de superação dos brasileiros.","305.1",NA
"E nós vamos mostrar, com estas diretrizes para o programa de governo, que é possível para o brasileiro resgatar a sua dignidade.","305.1",NA
"Temos razões para a esperança.","305.1",NA
"Nosso traço nacional mais importante é a vitalidade: uma vitalidade sem medida, assombrosa, anárquica e quase cega.","606.1",NA
"O Brasil tem o recurso mais importante: uma cultura empreendedora amplamente difundida no país, inclusive e sobretudo entre pequenas e médias empresas.","402",NA
"Trabalharemos para dar a este empreendedorismo vibrante, porém desequipado de braços, asas e olhos.","402",NA
"Inclusive ajudando esse imenso contingente de pessoas e famílias a reduzir seu atual endividamento","402",NA
"Essas são as diretrizes para um programa de governo elaborado por quem e para quem deseja ver o país novamente crescer, produzindo com dignidade e soberania.","409",NA
"Observamos diariamente que o povo brasileiro está sofrendo há tempos; que a crise econômica e política aumentou o desemprego","701",NA
"e piorou as condições de vida da população.","503",NA
"Mas, reforçando o que já foi dito, essa situação não é eterna; há muito espaço para recuperar a dignidade e a qualidade de vida de nossa população, e as oportunidades são inúmeras em um país que já cresceu muito no passado.","410",NA
"Para isso, é importante que tenhamos coragem para ser feito o que é necessário: priorizar quem trabalha e produz, buscando a geração de empregos","701",NA
"e a melhoria das condições de vida dos menos favorecidos,","503",NA
"e defender a soberania e os interesses brasileiros.","601.1",NA
"Vamos propor políticas e oportunidades para criar e manter empregos para uma população em idade de trabalhar, que chegou a 169 milhões de pessoas em junho deste ano.","701",NA
"Para atingirmos esses objetivos, estamos propondo uma estratégia nacional de desenvolvimento.","404",NA
"É estratégia porque é desenhada para o longo prazo, tem objetivos claros, sabemos onde queremos chegar, e incluirá metas ao longo do tempo, ainda que não estejam detalhadas neste programa inicial;","404",NA
"é nacional porque defenderá os interesses do país, do povo brasileiro, junto aos outros países,","103.1",NA
"e buscará fortalecer a produção local, visando o atendimento ao mercado interno ou externo,","406",NA
"de forma a gerar bons empregos para a nossa população;","701",NA
