Text,Code
PROGRAMA DE GOVERNO,H
"“TIRAR O PAÍS DA LAMA O ORGULHO DE SER BRASILEIRO E DOS ESCÂNDALOS E LIVRÁ-LO DA INEFICIÊNCIA DO ESTADO PARA, JUNTOS, RESGATARMOS COLOCARMOS O BRASIL NO CAMINHO DO CRESCIMENTO SUSTENTÁVEL E DA JUSTIÇA SOCIAL”",H
O Brasil tem tudo para se tornar uma grande nação.,601
Temos riquezas naturais,601
"e um povo alegre,",601
"criativo,",601
empreendedor,401
"e acolhedor que convive pacificamente com pessoas de diferentes nacionalidades, raças e religiões.",607
O que nos falta para realizar o nosso pleno potencial é um governo decente.,305
"Quero disputar a Presidência da República para livrar o Brasil dos escândalos de corrupção,",304
da ineficiência do Estado,303
e da injustiça social que estão arruinando o sonho de milhares de brasileiros,503
"Meu sonho é construir um país no qual os brasileiros empreendedores, trabalhadores e criativos possam investir, prosperar e inovar",401
sem ter de conviver com um Estado corrupto e ineficiente,304
que pune as pessoas que geram riqueza e prosperidade.,401
Meu desejo é ver o Brasil ser conhecido internacionalmente pela igualdade de oportunidade,503
"e pela melhoria da qualidade dos serviços públicos na saúde,",504
"Educação,",506
e segurança e deixar de ser manchete por causa da nossa vergonhosa desigualdade social,503
e de escândalos de corrupção.,304
"Quero ser o presidente que livrou o país de um Estado pesado,",414
ineficiente,303
e corrupto,304
que colocou o Brasil de volta no caminho do crescimento sustentável,414
e da justiça social.,503
Vamos voltar a ter orgulho de ser brasileiro.,601
"Mas, para atingir esses objetivos, não basta apenas querer e sonhar.",305
É preciso saber governar e ter competência comprovada para garantir a aprovação das reformas,414
e a governabilidade.,303
"Fui prefeito, deputado e quatro vezes governador de São Paulo.",305
"Estou na vida pública há mais de 40 anos e sei exatamente o que tem de ser feito para tirar o país da crise política, econômica e ética.",305
"PRIMEIRO, PRECISAMOS VOLTAR A CONFIAR NO PAÍS.",H
Essa confiança se dá por meio da política.,305
Precisamos voltar a acreditar que podemos mudar o Brasil para melhor.,305
"Temos de acabar com o cancro da corrupção,",304
"restaurar a credibilidade das nossas instituições democráticas,",202
fazer o Brasil voltar a crescer de maneira sustentável,414
e tornar a ser uma nação respeitada no mundo.,601
Essa não é uma tarefa fácil.,305
Exigirá coragem e determinação para conduzirmos as reformas saneadoras do Estado brasileiro.,414
"O resgate da confiança requer a aprovação das reformas política,",303
"previdenciária,",504
tributária e do Estado.,414
"Elas são fundamentais para que o governo possa servir melhor os brasileiros, prestando serviço público de qualidade,  melhorando a gestão pública",303
"e diminuindo o peso e a interferência do Estado na vida das pessoas que querem trabalhar, empreender e investir no Brasil.",401
"Se continuarmos a postergar essas mudanças, não seremos capazes de restaurar um elemento essencial da confiança: a previsibilidade das regras, o cumprimento da lei e a garantia da segurança jurídica.",414
