Text,Code
É tempo de Governar Portugal.,999
Uma Ideia para Portugal.,999
"Não me conformo com um Portugal remetido, na Europa, a um estatuto de segunda classe.",999
De um Estado que abusa e que atrapalha a sua vida.,999
Acredito que importa antes de mais contrapôr a este estado de coisas uma ideia para Portugal.,999
Que é necessário e indispensável uma linha de condução estratégica.,999
Porque Portugal não pode resignar­se a um estatuto de inferioridade.,999
"Portugal pode atingir os 80% da média europeia em termos de PIB/per capita, no decurso da próxima legislatura.",999
Em cerca de 15 anos deveremos alcançar a média dos nossos parceiros europeus.,999
Portugal também pode e deve vencer na sociedade da informação.,999
Acredito que a política é importante e deve fazer a diferença.,999
Porque acredito na necessidade de promover uma efectiva igualdade de oportunidades.,999
Acredito que é importante a capacidade e a vontade reformadora da política.,999
Acima de tudo não me conformo porque acredito nos portugueses e em Portugal.,999
José Manuel Durão Barroso.,999
Introdução.,999
1­ Um Programa Diferente.,999
"Existe entre nós a ideia, mais ou menos generalizada, de que os programas eleitorais de governo são normalmente documentos que ninguém lê a não ser quando por algum motivo a isso se vê obrigado, repositórios algo burocráticos de medidas ou intenções tantas vezes óbvias, pior ou melhor embrulhadas em longos e aborrecidos considerandos políticos.",305
E a verdade é que esses catálogos de políticas quase sempre conseguem deixar o eleitor desorientado quanto àquilo que afinal constitui a linha de rumo ou a orientação geral de uma determinada força partidária.,305
"Correndo embora o risco de incompreensão, por parte daqueles que há muito definiram os limites da aceitabilidade daquilo que deve ser um programa ``politicamente correcto'', o PSD optou por seguir outro caminho: formular de um modo tão directo quanto possível os compromissos com que nos apresentamos ao eleitorado.",305
"O que este programa contém, por decisão assumida, é apenas o núcleo essencial das nossas propostas, aquilo que caracteriza a nossa ideia para Portugal, aquilo que nos separa dos nossos adversários políticos.",305
"O texto do programa é, naturalmente, o resultado de complexos e demorados estudos, elaborados a partir da própria experiência governativa do PSD (em especial da década decorrida entre 1985 e 1995)",305
e também da análise crítica da actuação do actual executivo socialista.,305
"Ao apresentar apenas a súmula das conclusões de todos os estudos e análises feitos, estamos a dar provas de que nos queremos dirigir a um auditório tão vasto quanto possível.",305
"Mas a opção pela apresentação sistemática e simplificada das medidas que propomos tem ainda subjacente uma preocupação de responsabilização política, porquanto permite a cada eleitor acompanhar a respectiva execução e fiscalizar de modo efectivo o seu grau de cumprimento.",305
É essa mesma lógica que explica que o programa se inicie com a enumeração de um conjunto de cinco medidas a que chamámos emblemáticas e a cuja implementação atribuimos carácter prioritário.,305
"Medidas nas áreas da segurança social,",504
"da saúde,",504
"da fiscalidade,",503
da agricultura,703
e da educação,506
"e que respondem a preocupações de dignidade, de equidade e de justiça, mas que traduzem também um sentido de futuro.",503
"Medidas que são, além disso, a concretização prática das nossas orientações políticas fundamentais.",305
"Desde logo a definição de uma forte prioridade pelo domínio social, nomeadamente nas áreas da saúde e da solidariedade.",504
"Porque se trata, antes do mais, de uma exigência de justiça.",503
"De garantir, a amplos e esquecidos sectores da nossa sociedade, um conjunto mínimo de condições de vida compatíveis com a dignidade de todo o ser humano.",503
"De combater a pobreza e a exclusão que, para além de eticamente intoleráveis, têm contribuído para gerar desequilíbrios sociais perturbadores da nossa vida colectiva.",503
"No capítulo fiscal, conduzidos igualmente por uma preocupação de equidade, apresentamos uma proposta concreta de desagravamento dos impostos, cujos benefícios mais directos se farão sentir nas chamadas classes médias.",503
"De facto, este importante sector da nossa sociedade e, muito em particular, os trabalhadores por conta de outrém, têm visto os seus legítimos interesses sistematicamente preteridos face aos privilégios intocados de uma minoria cúmplice de um Estado fiscalmente arbitrário.",701
"E, se essa é uma situação que só uma profunda reforma tributária e uma genuína vontade política podem resolver,",303
não é menos verdade que uma intervenção no domínio fiscal como aquela que propomos é já um passo importante no sentido de recompensar quem o merece.,503
"Apresentamos também uma medida emblemática na área da agricultura, por considerarmos que este é, sem dúvida, um dos sectores mais penalizados com a integração de Portugal na União Europeia e com a incompetência negocial do actual governo, tornando­se assim imprescindível dar um sinal inequívoco da nossa confiança no futuro do mundo rural português.",703
Enquanto comunidade nacional temos vindo a testemunhar um aprofundamento do fosso que separa a chamada ``província'' de alguns pólos urbanos mais desenvolvidos.,504
"Mas muitas vezes esquece­se que a progressiva desertificação do interior também se reflecte de forma directa no agravamento das condições nas áreas urbanas e suburbanas onde problemas como a pobreza,",504
a falta de qualidade de vida,504
ou o consumo de droga atingem níveis cada vez mais preocupantes.,504
"Daí a preocupação ­presente ao longo de todo o programa­ de adoptar medidas de equilíbrio entre as diversas regiões do país,",504
numa lógica capaz de garantir uma adequada harmonização entre uma perspectiva dinâmica de desenvolvimento e o respeito por certos elementos essenciais que definem os traços mais profundos da nossa identidade enquanto Nação secular.,601
"Preocupa­nos de igual forma a preparação do futuro, razão que explica o porquê de uma medida emblemática na área da educação,",506
um sector reconhecidamente de importância estratégica para o desenvolvimento das capacidades nacionais num mundo cada vez mais globalizado.,411
O nosso país tem vindo a perder a sua capacidade competitiva e isso decorre também da incapacidade demonstrada pelo sector educativo em dar resposta à exigência de qualidade e à emergência e generalização da sociedade de informação.,411
"Os jovens portugueses não estão de facto a ser preparados para os desafios radicalmente diversos deste novo tempo e a medida que propomos insere­se justamente numa lógica de inversão dessa tendência, visando pôr fim às situações gritantes de analfabetismo funcional em áreas fundamentais de cultura científica.",411
Mas estas medidas emblemáticas não são importantes apenas por combaterem intoleráveis males endémicos da sociedade ou por serem a tradução mais apreensível de uma certa orientação política.,305
"Têm igualmente uma componente simbólica, nova no nosso país, pois não se trata de meras promessas mas de verdadeiros compromissos que o PSD assume, de forma quantificada e calendarizada.",305
Compromissos formais e não meras declarações vagas ou de carácter genérico.,305
Compromissos cuja implementação os cidadãos poderão facilmente verificar.,305
Compromissos cujo incumprimento traduziria uma quebra da relação de confiança com os eleitores da qual o PSD não poderia deixar de retirar a única consequência possível.,305
"Hoje, quando se fala cada vez mais da necessidade de os políticos prestarem contas das suas atitudes perante aqueles que os elegeram, queremos contribuir para introduzir na política portuguesa um novo conceito de ética de responsabilidade em que os políticos tomem a iniciativa de assumir os seus erros e incapacidades, não esperando pelo veredicto popular agarrados aos seus lugares.",305
2 ­ A coragem das reformas.,999
Os quatro anos da legislatura que agora chega ao seu termo foram indiscutivelmente os anos da oportunidade perdida.,305
O nosso país está cada vez menos preparado para enfrentar os desafios que o início do novo milénio vai trazer.,305
"Mais preocupado em gerir o viver habitualmente do que em preparar as mudanças requeridas pela nova conjuntura internacional, o actual governo está a hipotecar o futuro de Portugal.",305
"Sacrificando os desígnios nacionais ao seu desejo de perpetuação no poder, o Partido Socialista adiou sistematicamente, com receio da impopularidade, a implementação das medidas indispensáveis, recorrendo para isso aos expedientes mais diversos.",303
Todas as reformas estruturais foram adiadas.,303
"Da fiscalidade à saúde, passando pela Administração Pública ou pela segurança social, praticamente tudo ficou por fazer.",303
Só que os problemas não desaparecem pelo simples facto de os ignorarmos.,305
"Ao contrário, adensam­se e agravam­se.",305
"Nos últimos anos o governo português gozou de uma rara conjugação favorável de condições, tanto no plano internacional quanto a nível interno.",305
