Text,Code
Síntese do compromisso do bloco de esquerda nas legislativas 2011:,999
"Enfrentar a dívida, salvar a economia, criar emprego e respeito social:",999
"A escolha do povo português no dia 5 de Junho é entre a submissão ao programa FMI de recessão e desemprego, e a proposta de um caminho para o crescimento e justiça social.",305
O Bloco de Esquerda apresenta-se ao país com um projeto de governo de esquerda para concretizar esse caminho.,305
Enfrentar a dívida:,999
1. Auditoria à dívida,999
Uma saída para a situação de emergência do país baseia-se na democracia.,202
não há contas claras com uma dívida obscura.,304
"para o Bloco de esquerda, é necessário conhecer a composição das dívidas pública e privada, a sua origem, os seus prazos e os seus juros.",304
a dívida deve ser paga por quem a cria.,304
"a parte do estado é a mais pequena, mas inclui já hoje parcelas ilegítimas, resultantes de juros abusivos e negócios de corrupção e favorecimento.",304
"Para decidirmos sobre a dívida, é necessário separar o trigo do joio.",304
2. Renegociação da dívida,999
"As condições leoninas impostas à Grécia, à irlanda e a Portugal conduzem estes países a uma bancarrota adiada.",408
a espiral para o abismo só pode ser evitada mediante uma renegociação rigorosa.,408
"o Bloco propõe uma renegociação que estabeleça novos prazos, novas taxas de juro e condições de cumprimento razoáveis, que acompanhem a recuperação económica, e que anule a dívida inexistente.",408
"em vez de ser uma oportunidade de negócio para os credores dos países da periferia, as presentes dificuldades devem mobilizar uma política de cooperação europeia contra a especulação.",408
3. Ataque ao despesismo,999
"Além de cancelar as parcerias público-privado pendente,",413
o Bloco propõe que se imponha um teto aos acionistas das popa para o nível médio da taxa de juro da dívida pública praticada nos anos anteriores.,408
As despesas militares absurdas devem ser verificadas na sua legalidade,104
e devem ser rompidos os contratos manchados por corrupção ou incumprimento de contrapartidas.,305
"a despesa associada à presença na nato deve cessar, no quadro da saída de Portugal dessa organização militar agressiva.",104
"Deve ser aplicado o orçamento de Base Zero, que obriga os serviços e departamentos do estado à justificação de cada gasto, em vez da reprodução viciada de um quadro cíclico de despesas.",303
"O Bloco de esquerda propõe ainda a abolição dos governos civis,",303
"a redução drástica das consultadorias externas,",303
