Text,Code
A Voz Ecologista na Assembleia da República,H
"“Os Verdes” na Assembleia da República têm sido uma constante voz de denúncia, de alerta, em relação a problemas concretos com os quais as populações se confrontam.",305
"Os cidadãos sabem que podem contar com “Os Verdes”, por isso, /e particularmente nas questões ambientais,",501
"o Grupo Parlamentar de “Os Verdes” foi intensamente procurado para, no Parlamento, fazer eco de situações que degradam a qualidade de vida das pessoas e que contribuem para a degradação dos recursos naturais –",501
os 2 deputados dos Verdes multiplicaram-se num trabalho intenso de propostas para levar a Assembleia da República e o Governo a tomar medidas que fizessem da componente social e ambiental pilar estruturante do desenvolvimento.,501
"Por isso, “Os Verdes” bateram-se pela gestão pública da água,",413
como forma de garantir que este recurso essencial à vida seja concedido como um direito e não como uma mercadoria;,413
pela segurança marítima sempre na lógica do investimento na prevenção da poluição;,501
pela promoção de uma floresta rentável com uma intervenção muito virada para adopção de mecanismos articulados e eficazes de alerta e de prevenção dos incêndios florestais,501
e associado a uma política florestal e agrícola de dinamização do mundo rural;,703
pela segurança alimentar entendendo a alimentação como o suporte de vida humana e logo livre dos interesses das multinacionais e necessariamente virada para a qualidade por isso nos batemos pela biosegurança e pela aplicação do princípio da precaução em relação aos transgénicos;,403
"por uma política energética e de transportes que leve à poupança e eficácia energética,",501
passando pela auto-suficiência de Portugal no consumo de energia,501
"e por uma política de mobilidade que promova mais qualidade de vida nas cidades,",501
o não isolamento do interior do país,107
e também o cumprimento do protocolo de Quioto;,107
pela gestão de resíduos que passa fundamentalmente pela redução da sua produção,501
e pelo tratamento adequado por fileiras de forma a potenciar todas as formas de reciclagem de resíduos.,501
"Para informações mais detalhadas sobre o trabalho parlamentar, pode consultar aqui no site.",501
Um projecto como o de “Os Verdes”,H
que tem como objectivo:,501
Mais justiça social,503
"e ambiental,",501
que tem como pressuposto o fim da exploração dos seres humanos,503
"e da delapidação dos recursos naturais,",501
"que nega a concentração de riqueza e a generalização da pobreza,",503
"que repudia todas as formas de discriminação de género, xenófoba ou racial,",503
que considera que a defesa do ambiente passa pela garantia de condições dignas de vida a todos os seres humanos,501
"e pela gestão dos recursos naturais em função das necessidades reais dos povos e não dos lucros das multinacionais,",501
"que, para isso entende que a existência de serviços públicos,",413
"responsabilidade do Estado,",413
"é determinante para garantir a sua gestão, feita em função das necessidades públicas e não dos interesses privados,",606
"que para isso também defende que a aproximação dos poderes às populações é determinante,",202
"que considera que a participação pública e colectiva é um mecanismo essencial para garantir a exigência dessa justiça,",202
é um projecto essencial para Portugal!,202
20 COMPROMISSOS PARA 20 DE FEVEREIRO,H
1. Gestão pública da água,413
"“Os Verdes” consideram que sendo a água condição de vida é um recurso estratégico fundamental para o desenvolvimento e só pode ser concebida como um direito e nunca como uma mercadoria,",501
o que só pode ser garantido através de uma gestão pública.,413
Somos contra qualquer manobra que tenha em vista a privatização da água em Portugal,413
e proporemos que a nova lei-quadro da água estabeleça esse princípio.,413
"Continuaremos também a exigir uma política eficiente de combate às poluições,",501
que garanta a qualidade e promova a poupança de água.,501
2. Um outro caminho para a política energética,H
“Os Verdes” defendem uma política energética que reduza a dependência externa (que se situa na ordem dos 90%),501
através do aumento da produção nacional a partir das energias renováveis sem necessidade de recurso à construção de mais barragens ou à energia nuclear.,501
Consideramos que o sucesso desta política de energia só pode ser garantido com o investimento na poupança e na eficiência energéticas e não nos interesses das empresas do sector.,501
“Os Verdes” recusam ainda que Portugal venha a sofrer as consequências das opções nuclearistas espanholas,501
e por isso continuaremos a bater-nos contra a instalação de cemitérios de resíduos radioactivos junto à fronteira portuguesa ou na bacia hidrográfica de qualquer dos rios internacionais.,501
3. Tratamento dos resíduos sem recurso a queima,H
"“Os Verdes” consideram que está mais que provado que a queima de resíduos é um erro, tanto do ponto de vista ambiental como de gestão e,",501
