"text","cmp_code","eu_code"
"PCP",NA,NA
"Compromisso Eleitoral do PCP: Poruma política patriótica e deesquerda",NA,NA
"Introdução",NA,NA
"No Programa Eleitoral apresentado pelo PCP às eleições legislativas de 2009,registavam-se as consequências de quatro anos e meio de Governo PS e da aplicação de uma política de direita que beneficiou, nas suas questões fundamentais, mesmo numa situação de maioria absoluta, da cumplicidade e apoio do PSD e do CDS.","305",NA
"A gravíssima situação que o País hoje vive é o resultado do agravamento, no quadro da crise do capitalismo e do processo de integração capitalista da UE,das consequências da política de direita, potenciada pela crescente alienação da soberania nacional e da submissão às orientações do grande capital.","305",NA
"No último ano e meio, com a sustentação conjugada de PS, PSD e CDS, foram tomadas novas e gravosas medidas, em particular nos PEC e nos Orçamentos para 2010 e 2011.","305",NA
"As eleições de 5 de Junho, convocadas na sequência da demissão do Governo e da dissolução da Assembleia da República, artiﬁcialmente justiﬁcadas pela rejeição do PEC IV – cujo conteúdo PSD e CDS na verdade apoiam –, mas traduzindo na realidade um profundo desgaste político e social do Governo e da sua política, são assim uma batalha política em que se coloca, de forma determinante, a questão da ruptura e da mudança para uma política patriótica e de esquerda.","305",NA
"Em 2009, o PCP apontou a indispensabilidade de uma ruptura patriótica e de esquerda como caminho indispensável para a resolução dos problemas do País.","305",NA
"Menos de dois anos depois, essa necessidade mantém-se e acentua-se.","305",NA
"Tivesse o conjunto de medidas propostas pelo PCP sido aplicado e o País não estaria profundamente mergulhado na crise em que se encontra.","305",NA
"O PCP reafirma a actualidade do Programa Eleitoral de 2009, e das medidas nele contidas, apresentando em simultâneo o presente «Compromisso com uma política patriótica e de esquerda», em que se apontam razões e soluções para seis questões fundamentais – financiamento e dívida, produção nacional, direitos laborais e sociais, distribuição da riqueza, soberanianacional, democracia e direitos – e a proposta de uma alternativa, de umapolítica e de um Governo Patriótico e de Esquerda.","305",NA
"1. Questões do financiamento e da dívida",NA,NA
"1.1 A dívida externa e o financiamento do Estado português",NA,NA
"O endividamento externo do País é uma das consequências mais visíveis da política de desastre nacional que PS, PSD e CDS/PP impuseram nos últimos 35 anos, com o aprofundamento da dependência externa e de subordinação aos interesses e estratégias dos grandes grupos económicos e ﬁnanceiros monopolistas.","408",NA
"É inseparável, na sua dimensão estrutural, de um processo de abandono da produção nacional,","410",NA
"das privatizações,","413",NA
"da submissão às imposições da União Europeia e da adesão ao Euro|,","110",NA
"com a consequente perda de competitividade e condicionamento do financiamento do Estado,","409",NA
"deixando de poder emitir moeda, de ﬁxar taxa cambial e de determinar taxas de juro, ﬁcando exclusivamente na mão dos “mercados”.","415",NA
"Uma dívida líquida, pública (Estado) e privada (Empresas e Particulares), que assume hoje a colossal dimensão de mais de 107% do PIB, em que a componente privada foi sempre superior, e que não resulta de um excesso de despesa pública (sem prejuízo da necessária racionalização de despesas supérﬂuas), mas antes de uma injusta política ﬁscal e contributiva, que cobra muito aos trabalhadores e reformados e pouco aos grupos económicos e ﬁnanceiros.","415",NA
"Não é o povo que vive “acima das suas possibilidades”, mas a oligarquia ﬁnanceira que se apropria de elevados lucros e dividendos.","415",NA
"Após 2008 e com o aprofundamento da crise estrutural do capitalismo, agravou-se a dívida, fruto da recessão decorrente da insuficiência de medidas de apoio à economia real, da especulação sobre as taxas de juro dos títulos da dívida pública -que lhe acrescenta todos os meses milhões de euros (mais de 1900 milhões de euros de 2010 para 2011) – assegurando vultuosos lucros aos bancos da Alemanha, da Inglaterra, da Espanha, da Holanda, da França e também de Portugal, que se financiam junto do BCE a taxas de 1%, para depois adquirirem dívida pública cobrando 8%, 9% e até mais de 10%, numa ilegítima usurpação de recursos nacionais.","408",NA
"Agravou-se ainda e em particular com a assumpção pelo Estado dos custos do“lixo tóxico” e buracos do sector ﬁnanceiro e com as medidas de apoio à banca assumidas a partir de 2008 que comprometeram muitos milhares de milhões de euros e que nos casos do BPN e BPP atingem já 2 250 milhões de euros de valor declarado até agora, transformando dívida privada em pública, com a transferência dos custos para os trabalhadores e o povo.","408",NA
"1.2. A chantagem e ingerência da dita «ajuda externa»",NA,NA
