Text,Code
"Difendere e valorizzare i cardini dell’Autonomia: lo Statuto Speciale, l’identità e il rispetto della diversità e delle Comunità locali",301
Promuovere una riforma costituzionale per razionalizzare la rappresentanza politica e per riaffermare il ruolo del regionalismo,301
Dare attuazione al Federalismo fiscale,301
e rinegoziare il Patto di stabilità,301
Promuovere il patto delle Autonomie del nord,301
Rivendicare un ruolo attivo in Europa,301
Dare voce alle politiche per la montagna e in favore dell’ambiente,501
Famiglia e politiche sociali al centro dell’azione di governo,504
Giovani e lavoro per uscire dalla crisi,701
Riposizionare la Valle d’Aosta come snodo delle reti di collegamento internazionali,411
Confermare e rilanciare il ruolo del Casino de la Vallée,408
