Text,Code
… Südtirol bestimmt selbst  … Südtirol tol instës sües dezijiuns,999
Der Weg der Autonomie ist Garant für Sicherheit und Stabilität in Süd-tirol.,301
Die Südtiroler Volkspartei hat diesen Weg vorangetrieben und maßgeblich gestaltet.,305
Wir sind stolz auf Meilensteine wie das „Paket“ 1969 und das Zweite Autonomiestatut 1972.,305
"Nicht utopische Forderungen, sondern konkrete und machbare Schritte waren dabei stets der Schlüssel zum Erfolg.",305
Die SVP verfolgt den Weg der maximalen Eigenständigkeit Südtirols,301
und der Einbindung unseres Landes in die gesamteuropäische Entwicklung:,107
"Konsequent gehen wir den erfolgreichen Weg der Autonomie hin zur Vollautonomie weiter, mit der Perspektive eigenständiger europäischer Regionen.",305
"Wir kämpfen für mehr Freiraum, damit Südtirol seine Zukunft eigenständig gestalten und seine Chancen in Europa – an  der Schnittstelle zwischen deutschem und italienischem Kultur- und Wirtschaftsraum – nutzen kann.",301
"Der römische Zentralismus ist eine Gefahr für die soziale, wirtschaftliche und kulturelle Entwicklung Südtirols.",301
"Umso wichtiger ist es jetzt, die bereits  erreichte kulturelle, wirtschaftliche und soziale Eigenständigkeit abzusichern und weiter auszubauen.",301
Vor allem aber müssen wir die Wirtschaftliche Entwicklung in  Südtirol durch die Übernahme erweiterter Zuständigkeiten von den Hemmnissen der staatlichen Verwaltung befreien.,301
» I jun inant consecuënć le tru de suzès dl’autonomia por ruvé al’autonomia plëna«,999
Kulturelle Eigenständigkeit,999
Der Schutz der Volksgruppen ist der Ausgangspunkt unserer Autonomie.,607
"In  der Vergangenheit konnten wir sehr viel für die deutsch- und ladinischsprachige Minderheit erreichen: Wir haben unsere jeweils eigenen Schulen, der  ethnische Proporz garantiert eine gerechte Aufteilung der Ämter und Stellen  in der öffentlichen Verwaltung und eine angemessene Verteilung von öffentlichen Leistungen.",305
"Wir leben selbstbewusst unsere Traditionen, haben eine  starke Heimatverbundenheit und unsere Identität ist nicht mehr in unmittelbarer Gefahr.",603
"So kann die Verbindung von Tradition und Zeitgeist, von  gelebten Werten und offenheit unsere Kultur festigen und weiterentwickeln.",603
Fortschritt statt Rückschritt,999
