Text,Code
PROGRAMMA SVP-PATT,999
1. Modifica dello Statuto di autonomia,301
Trasferimento in capo alle province autonome dei poteri legislativi primari nei seguenti settori,301
ambiente,301
regolamento comunale alla Provincia,301
personale,301
tutela e sicurezza sul lavoro,301
revisione delle norme sull’ordinamento finanziario (entrate accise e gioco d’azzardo),303
"attribuzione delle competenze nel campo dell’ordine pubblico e della sicurezza, oggi esercitate dal Commissario del Governo, al Presidente della Provincia secondo quanto previsto dall’art. 44 c. 1 dello Statuto della Valle d’Aosta (secondo le disposizioni del Governo, verso il quale il Presidente della Provincia è responsabile;",301
assunzione diretta da parte del Governo in caso di minaccia alla sicurezza nazionale).,301
2. Emanazione delle norme di attuazione nei seguenti settori: toponomastica,000
trasferimento dei poteri amministrativi del Ministero dell’Ambiente alle province autonome per la gestione di orso e lupo,301
trasferimento delle competenze amministrative e del personale amministrativo di INPS e INAIL,301
"assunzione delle funzioni amministrative delle agenzie fiscali da parte della Provincia Autonoma di Bolzano, in particolare di quella delle entrate e dell’Agenzia delle dogane e dei monopoli.",301
"3. Rinnovo della convenzione-concessione dell’autostrada del Brennero (A22) in attuazione di quanto disposto dall’art. 13-bis del decreto legge n. 148/2017, convertito con l.n. 172/2017 e modificato con l.n. 205/2017, entro i termini ivi previsti.",411
4. Rafforzamento delle specificità e considerazione delle peculiarità esclusive dell’Alto Adige in ordine all’attività di volontariato.,606
"5. Particolare riguardo per l’impegno volto a garantire, nell’attività legislativa e governativa, le specificità delle autonomie speciali delle province di Bolzano e Trento.",301
"6. Modifica dello Statuto di Autonomia dell’Alto Adige alla luce delle riforme costituzionali sopravvenute e delle esigenze di aggiornamento delle autonomie speciali, tenendo conto dei risultati della Convenzione sull’Autonomia di Bolzano e della Consulta per lo Statuto di Trento, fermo restando l’obbligo di concordare con l’Austria ogni modifica allo Statuto di Autonomia.",301
18.01.2018,999
